Time-DC,Temp-DC,Resistance,Soot left-mg
15812.3,735.7369,140.601542383,-0.006229371
15858.4,737.1786,140.2524544,-0.0061295394999999996
15904.5,738.7711,140.0560224,-0.0060291075
15950.6,740.2037,139.45835902599998,-0.005928776
15996.7,741.8439,140.31745905399998,-0.005828444
16042.8,743.3655,139.4700139,-0.005727612
16088.9,744.9608,138.738693552,-0.0056271805
16135.0,746.4554,138.121547,-0.005527149
16181.1,747.895,137.59332159700003,-0.0054275174999999995
16227.2,749.4274,137.415541832,-0.005328486
16273.3,750.9765,136.9863014,-0.005230655
16319.4,752.6818,136.62323492200002,-0.0051336245
16365.5,754.116,136.13783389,-0.0050369935
16411.6,755.627,139.02032988800005,-0.004940363
16457.7,757.0046,137.97485237499998,-0.0048430325
16503.8,758.6581,138.78221230199986,-0.0047459015
16549.9,760.2887,139.27770847899998,-0.004648971
16596.0,761.6642,138.58099514,-0.0045525405000000005
16642.1,763.2381,138.121547,-0.00445711
16688.2,764.4953,137.7410468,-0.00436218
16734.3,765.863,136.905721206,-0.0042681505
16780.4,767.4592,136.425648,-0.004174321
16826.5,768.9938,136.11929787,-0.004080491
16872.6,770.2877,135.63740792200002,-0.003988462
16918.7,771.8885,134.97647441799998,-0.0038980335
16964.8,773.2899,134.322003336,-0.0038071044999999997
17010.9,774.85,134.032107008,-0.003716176
17057.0,776.4044,133.5113485,-0.0036255470000000002
17103.1,777.9023,132.74752446900004,-0.0035350185
17149.2,779.5308,132.464384188,-0.00344559
17195.3,780.8788,132.1003963,-0.0033574625
17241.4,782.4558,131.5789474,-0.003270935
17287.5,783.9803,131.14771042499999,-0.003186008
17333.6,785.611,130.3780965,-0.0031020815
17379.7,787.1013,130.2083333,-0.003018555
17425.8,788.6744,129.7016861,-0.0029352285
17471.9,790.2217,129.3661061,-0.0028533029999999997
